# idx stamp x y z qx qy qz qw yaw pcd_file
43 1778838540.135256529 -7.838613 -0.731297 -1.870575 -0.205084558 -0.022481445 0.762865206 -0.612757364 -1.747125376 keyframe_000043.pcd
44 1778838540.236273050 -7.817727 -0.736873 -1.862001 -0.185015094 -0.024220620 0.724657878 -0.663365462 -1.624742171 keyframe_000044.pcd
45 1778838540.335409641 -7.799791 -0.741821 -1.860432 -0.176765759 -0.026026272 0.683780529 -0.707474867 -1.504595890 keyframe_000045.pcd
46 1778838540.435256481 -7.777209 -0.736751 -1.860828 -0.166201980 -0.043162530 0.636647399 -0.751793846 -1.376408191 keyframe_000046.pcd
47 1778838540.535362720 -7.751826 -0.731989 -1.857490 -0.156817422 -0.029747288 0.592115962 -0.789887386 -1.260425543 keyframe_000047.pcd
48 1778838540.636277199 -7.733959 -0.722243 -1.850574 -0.144483219 -0.030137287 0.544070550 -0.825956161 -1.142688742 keyframe_000048.pcd
49 1778838540.735167027 -7.715263 -0.716737 -1.845595 -0.128880315 -0.028642222 0.484643860 -0.864690590 -1.004118439 keyframe_000049.pcd
50 1778838540.836340666 -7.693024 -0.701219 -1.840042 -0.113329735 -0.023986106 0.430966534 -0.894901606 -0.884494180 keyframe_000050.pcd
51 1778838542.136237860 -7.572827 -0.804538 -1.824956 -0.099466141 -0.020562717 0.388071943 -0.916015190 -0.791743584 keyframe_000051.pcd
52 1778838542.835201740 -7.384091 -1.006237 -1.786456 -0.101041874 -0.022105287 0.382475243 -0.918158257 -0.779295951 keyframe_000052.pcd
53 1778838543.536270142 -7.215669 -1.185540 -1.740818 -0.094692824 -0.013808379 0.372846567 -0.922945304 -0.759842012 keyframe_000053.pcd
54 1778838544.236200809 -7.008080 -1.372199 -1.692647 -0.089451052 -0.017302350 0.366493115 -0.925949207 -0.746201054 keyframe_000054.pcd
55 1778838544.736270666 -6.971761 -1.355819 -1.676824 -0.062693882 -0.018948247 0.282206327 -0.957115474 -0.569508678 keyframe_000055.pcd
56 1778838544.836176872 -6.959996 -1.333174 -1.672303 -0.041305906 -0.020147580 0.210276848 -0.976561081 -0.422115899 keyframe_000056.pcd
57 1778838544.935153961 -6.951579 -1.297376 -1.670099 -0.020541678 -0.020642047 0.120053820 -0.992340176 -0.239967349 keyframe_000057.pcd
58 1778838545.035391092 -6.952161 -1.274088 -1.674921 0.001633905 -0.027393562 0.033880821 -0.999049054 -0.067940335 keyframe_000058.pcd
59 1778838546.236190319 -6.787524 -1.244303 -1.647335 -0.005425822 -0.016120271 -0.010961487 -0.999795251 0.022106619 keyframe_000059.pcd
60 1778838547.736204147 -6.536154 -1.207902 -1.591033 0.009415326 -0.023330774 -0.015636689 -0.999561164 0.030859223 keyframe_000060.pcd
61 1778838548.236236572 -6.297599 -1.195628 -1.515200 0.008661048 -0.013242313 -0.016645006 -0.999736251 0.033069720 keyframe_000061.pcd
62 1778838548.636153698 -6.034948 -1.168892 -1.458881 -0.005344373 -0.012261588 -0.031937663 -0.999400359 0.064030518 keyframe_000062.pcd
63 1778838549.035140276 -5.766033 -1.148021 -1.400334 0.009755298 -0.012833003 -0.029661101 -0.999430021 0.059092717 keyframe_000063.pcd
64 1778838549.436178684 -5.509283 -1.124290 -1.341790 0.007184427 -0.020037771 -0.036742857 -0.999098010 0.073257268 keyframe_000064.pcd
65 1778838550.336181879 -5.245473 -1.109989 -1.287639 -0.009710699 -0.005115145 -0.047139539 -0.998828014 0.094412205 keyframe_000065.pcd
66 1778838550.936207533 -5.003771 -1.067934 -1.225529 0.007099463 -0.005954757 -0.056575936 -0.998355298 0.113131483 keyframe_000066.pcd
67 1778838551.536106110 -4.756268 -1.033543 -1.167970 0.007965420 -0.009509542 -0.057846061 -0.998248443 0.115618264 keyframe_000067.pcd
68 1778838552.335985422 -4.515037 -0.959727 -1.111579 0.019396864 -0.004632417 -0.078882684 -0.996684416 0.157727625 keyframe_000068.pcd
69 1778838553.135990381 -4.249998 -0.911509 -1.042875 0.016275626 0.008680922 -0.087933308 -0.995955561 0.176369111 keyframe_000069.pcd
70 1778838553.736040115 -3.992754 -0.852859 -0.975073 0.019061212 0.000460006 -0.093602167 -0.995427091 0.187462504 keyframe_000070.pcd
71 1778838554.336007357 -3.728585 -0.789675 -0.920970 0.016598150 -0.011134658 -0.104411790 -0.994333294 0.208853663 keyframe_000071.pcd
72 1778838554.936050177 -3.436964 -0.716072 -0.853495 0.014735678 -0.009215002 -0.114447694 -0.993277237 0.229138249 keyframe_000072.pcd
