phase,direction,progress_start_m,progress_end_m,count,signed_median_m,abs_median_m,abs_p95_m,abs_max_m
0,1,0.0,5.0,110,0.053059773310414185,0.0530597733104142,0.08266367946994783,0.08583496654251813
0,1,5.0,10.0,110,0.05254284750274272,0.052542847502742726,0.06881860329453536,0.07497247065275436
0,1,10.0,15.0,111,0.04634189105883011,0.04634189105883011,0.08187892269239014,0.0956811424983789
0,1,15.0,20.0,107,0.0587722736888611,0.05877227368886109,0.08331423974046365,0.08812225211171776
0,1,20.0,25.0,107,0.058716725778112926,0.05871672577811292,0.07949820666529382,0.09204894030582794
0,1,25.0,30.0,109,0.04583978237086055,0.045839782370860546,0.07786441263807616,0.09031190043115052
0,1,30.0,35.0,106,0.039209262287446936,0.039209262287446936,0.05606756272142205,0.06875367752054073
0,1,35.0,40.0,109,0.04691317182692307,0.04691317182692307,0.07307924790850291,0.08038465781211805
0,1,40.0,45.0,110,0.05900456268312168,0.05900456268312168,0.08138922166113162,0.09269944851933246
0,1,45.0,50.0,106,0.07444109799149254,0.07444109799149254,0.09648780579274024,0.10224875425310377
0,1,50.0,55.0,110,0.05356826921560842,0.05356826921560843,0.07060154121889413,0.07726281899098
0,1,55.0,60.0,118,0.038656712729807,0.044896852754857476,0.13473552152983626,0.15807758654836782
0,1,60.0,65.0,102,-0.17018519567428403,0.17018519567428403,0.19265318515785548,0.204673923682381
0,1,65.0,70.0,100,-0.1604465238779838,0.1604465238779838,0.1811096441207138,0.18818744405683174
0,1,70.0,75.0,102,-0.19049633028062676,0.1904963302806268,0.21526996644398805,0.2251301351422342
0,1,75.0,80.0,102,-0.18886180757599097,0.18886180757599097,0.20469894538735497,0.2122369610900229
0,1,80.0,85.0,101,-0.20233383965131632,0.2023338396513163,0.21421111731219586,0.21790452597315957
0,1,85.0,90.0,100,-0.18735397456406977,0.18735397456406974,0.21117815941696233,0.22338692126232154
0,1,90.0,95.0,99,-0.19184171841057424,0.19184171841057426,0.20844559215103098,0.21605092426134379
0,1,95.0,100.0,102,-0.19874448129841443,0.19874448129841443,0.20897026445729044,0.21200607219793435
0,1,100.0,105.0,99,-0.1920662840499805,0.1920662840499805,0.2090818027087988,0.2132810719857489
0,1,105.0,110.0,103,-0.19244426997923403,0.19244426997923406,0.21030330791142293,0.21334893285855863
0,1,110.0,115.0,100,-0.18919074400024832,0.18919074400024832,0.20696204399983137,0.21405970771637667
0,1,115.0,120.0,100,-0.19497061174209676,0.1949706117420968,0.2215240111492633,0.23066089116702387
0,1,120.0,125.0,103,-0.21570228566756028,0.21570228566756028,0.23634865543680997,0.2501254632567784
