# idx stamp x y z qx qy qz qw yaw pcd_file
43 1778824312.475561142 -3.268117 -4.955970 -0.787825 0.156020730 0.028745588 -0.616299514 0.771366406 -1.322579215 keyframe_000043.pcd
44 1778824312.575309753 -3.234083 -5.081313 -0.780350 0.155740851 0.042347769 -0.608129373 0.777258078 -1.302003636 keyframe_000044.pcd
45 1778824312.675342560 -3.211697 -5.209927 -0.756990 0.151210934 0.048945622 -0.606749442 0.778841893 -1.299354355 keyframe_000045.pcd
46 1778824312.773898840 -3.190911 -5.332292 -0.753516 0.151991366 0.036469811 -0.600120635 0.784489517 -1.281408180 keyframe_000046.pcd
47 1778824312.975457430 -3.144390 -5.538620 -0.732701 0.140578803 0.019270818 -0.596023860 0.790330180 -1.271756112 keyframe_000047.pcd
48 1778824313.075395823 -3.110922 -5.654796 -0.737432 0.155925578 0.050445091 -0.594264845 0.787395581 -1.266848134 keyframe_000048.pcd
49 1778824313.175424099 -3.079386 -5.764883 -0.728875 0.140802466 0.033139351 -0.596505090 0.789466989 -1.273041316 keyframe_000049.pcd
50 1778824313.275456190 -3.050941 -5.880883 -0.726382 0.149632794 0.040349866 -0.589702431 0.792611480 -1.255234724 keyframe_000050.pcd
51 1778824313.375530481 -3.023789 -5.988556 -0.708439 0.151739895 0.025069253 -0.588409332 0.793801609 -1.251533363 keyframe_000051.pcd
52 1778824313.475484371 -2.984608 -6.107517 -0.707766 0.158307243 0.044943221 -0.586267423 0.793227227 -1.245849955 keyframe_000052.pcd
53 1778824313.575515509 -2.956514 -6.224506 -0.689724 0.149853502 0.040366314 -0.590671437 0.791847045 -1.257673124 keyframe_000053.pcd
54 1778824313.675532341 -2.924772 -6.349753 -0.697574 0.155525957 0.039054152 -0.586475683 0.793934962 -1.246427982 keyframe_000054.pcd
55 1778824313.775404215 -2.887097 -6.462108 -0.687596 0.151812656 0.032918402 -0.580876121 0.799032057 -1.232570336 keyframe_000055.pcd
56 1778824313.875388145 -2.838266 -6.568026 -0.685820 0.146538706 0.027850644 -0.583904100 0.798001724 -1.240647952 keyframe_000056.pcd
