1784729341.660143 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784729342.090080480] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784729342.092296108] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784729357.388748535] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.41, clear_frames=81
[INFO] [1784729357.888922236] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.34, clear_frames=85
[INFO] [1784729358.388946815] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.36, clear_frames=89
[INFO] [1784729358.891842187] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.49, clear_frames=92
[INFO] [1784729359.439231188] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=14, lateral_count=0, nearest_x=1.35, clear_frames=97
[INFO] [1784729359.946339632] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.35, clear_frames=101
[INFO] [1784729360.489231797] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.39, clear_frames=106
[INFO] [1784729361.038938819] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.069, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.38, clear_frames=111
[INFO] [1784729361.539076983] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.093, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.36, clear_frames=114
[INFO] [1784729362.089443524] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.092, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.44, clear_frames=119
[INFO] [1784729362.639389868] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.105, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=125
[INFO] [1784729363.169792106] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.110, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.39, clear_frames=129
[INFO] [1784729363.688976655] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.083, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.43, clear_frames=134
[INFO] [1784729364.238698422] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.056, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.40, clear_frames=140
[INFO] [1784729364.738717578] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.42, clear_frames=145
[INFO] [1784729365.288587760] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.41, clear_frames=151
[INFO] [1784729365.788684628] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.37, clear_frames=156
[INFO] [1784729366.339233141] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.067, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.41, clear_frames=161
[INFO] [1784729366.841149450] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.081, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.34, clear_frames=166
[INFO] [1784729367.342739094] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.079, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.41, clear_frames=172
[INFO] [1784729367.888620570] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.089, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.34, clear_frames=177
[INFO] [1784729368.388996206] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.089, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.36, clear_frames=182
[INFO] [1784729368.890023645] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.003, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.34, clear_frames=187
[INFO] [1784729369.439285483] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.32, clear_frames=193
[INFO] [1784729369.939835045] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.32, clear_frames=199
[INFO] [1784729370.488914682] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.30, clear_frames=204
[INFO] [1784729370.988952374] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.065, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.32, clear_frames=209
