wall_time,local_time,x,y,route_progress_m,cross_track_m,signed_cross_track_m,heading_error_vs_csv_yaw_deg,odom_stamp_age_ms
1784986253.021114,2026-07-25T21:30:53.021+08:00,1.963962,0.067997,1.972883,0.046927,0.046927,0.503715,297.245
1784986253.121333,2026-07-25T21:30:53.121+08:00,2.006454,0.067689,2.015376,0.046700,0.046700,0.624431,298.045
1784986253.221116,2026-07-25T21:30:53.221+08:00,2.067196,0.071004,2.076112,0.050130,0.050130,0.330468,298.452
1784986253.321197,2026-07-25T21:30:53.321+08:00,2.119662,0.072928,2.128574,0.052155,0.052155,0.034495,299.307
1784986253.421227,2026-07-25T21:30:53.421+08:00,2.164796,0.070350,2.173713,0.049663,0.049663,0.112206,299.844
1784986253.521273,2026-07-25T21:30:53.521+08:00,2.213814,0.070570,2.222730,0.049977,0.049977,0.407022,300.545
1784986253.621257,2026-07-25T21:30:53.621+08:00,2.273183,0.074789,2.290005,0.047222,0.047222,0.399494,301.169
1784986253.723056,2026-07-25T21:30:53.723+08:00,2.319492,0.074357,2.335702,0.039708,0.039708,0.204376,303.607
1784986253.871132,2026-07-25T21:30:53.871+08:00,2.359620,0.073912,2.375289,0.033126,0.033126,0.056234,352.309
1784986253.971152,2026-07-25T21:30:53.971+08:00,2.415671,0.077077,2.431164,0.027674,0.027674,0.173529,352.968
1784986254.074866,2026-07-25T21:30:54.074+08:00,2.474340,0.078958,2.489430,0.020553,0.020553,0.479638,357.323
1784986254.171209,2026-07-25T21:30:54.171+08:00,2.517594,0.072666,2.531211,0.007715,0.007715,0.413480,354.306
1784986254.271077,2026-07-25T21:30:54.271+08:00,2.557325,0.070418,2.570130,0.000588,-0.000588,0.727469,354.814
1784986254.371240,2026-07-25T21:30:54.371+08:00,2.608092,0.072232,2.620576,0.006567,-0.006567,0.635026,355.617
1784986254.471292,2026-07-25T21:30:54.471+08:00,2.660487,0.069739,2.671972,0.017049,-0.017049,0.148161,356.309
1784986254.571255,2026-07-25T21:30:54.571+08:00,2.698685,0.072481,2.712974,0.019084,-0.019084,0.387940,356.912
