[INFO] [1784986274.372936306] [waypoint_follower]: nearest=27, target=29, dist=1.07, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784986275.422794791] [waypoint_follower]: nearest=28, target=30, dist=0.96, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986276.472807507] [waypoint_follower]: nearest=29, target=31, dist=0.95, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1784986277.522931477] [waypoint_follower]: nearest=30, target=32, dist=0.91, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784986278.523188400] [waypoint_follower]: nearest=31, target=33, dist=0.87, alpha=-0.09, vx=0.50, yaw_rate=-0.08, dir=1
[INFO] [1784986279.573528668] [waypoint_follower]: nearest=32, target=34, dist=0.83, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986280.572951575] [waypoint_follower]: nearest=33, target=35, dist=0.86, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986281.572822260] [waypoint_follower]: nearest=34, target=36, dist=0.85, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986282.623324727] [waypoint_follower]: nearest=35, target=37, dist=0.75, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986283.622746594] [waypoint_follower]: nearest=36, target=38, dist=0.85, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986284.625956142] [waypoint_follower]: nearest=38, target=40, dist=1.03, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784986285.625860074] [waypoint_follower]: nearest=39, target=41, dist=1.02, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784986286.677382454] [waypoint_follower]: nearest=40, target=42, dist=0.94, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986287.724889529] [waypoint_follower]: nearest=41, target=43, dist=0.90, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986288.774456604] [waypoint_follower]: nearest=42, target=44, dist=0.89, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986289.772577267] [waypoint_follower]: nearest=43, target=45, dist=0.83, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986290.773178169] [waypoint_follower]: nearest=44, target=46, dist=0.86, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986291.773751533] [waypoint_follower]: nearest=45, target=47, dist=1.02, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986292.773717657] [waypoint_follower]: nearest=46, target=48, dist=0.94, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986293.822753272] [waypoint_follower]: nearest=47, target=49, dist=0.91, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986294.823236663] [waypoint_follower]: nearest=48, target=50, dist=0.85, alpha=0.01, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986295.873389058] [waypoint_follower]: nearest=49, target=51, dist=0.84, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986296.922752575] [waypoint_follower]: nearest=50, target=52, dist=0.72, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
