

===== 2026-05-17T03:51:54.672134 start unitree_cmd_node =====
[INFO] [1778961116.512089920] [unitree_cmd_node]: unitree_cmd_node ACTIVE: /patrol_cmd -> /api/sport/request
[INFO] [1778961116.512809888] [unitree_cmd_node]: Move api_id=1008, StopMove api_id=1003
[INFO] [1778961120.793624256] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.022
[INFO] [1778961120.843591264] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.022
[INFO] [1778961120.893694528] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.026
[INFO] [1778961120.943669536] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.026
[INFO] [1778961120.993490208] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.034
[INFO] [1778961121.043674432] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.034
[INFO] [1778961121.093513376] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.016
[INFO] [1778961121.143734496] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.016
[INFO] [1778961121.193748160] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.009
[INFO] [1778961121.243800928] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.009
[INFO] [1778961121.293699360] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.004
[INFO] [1778961121.343756992] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.004
[INFO] [1778961121.393596288] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.004
[INFO] [1778961121.443645312] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.004
[INFO] [1778961121.493590784] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.066
[INFO] [1778961121.543558848] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.066
[INFO] [1778961121.593568800] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.066
[INFO] [1778961121.643786272] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.066
[INFO] [1778961121.694840000] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.076
[INFO] [1778961121.743602592] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.076
[INFO] [1778961121.793657696] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.055
[INFO] [1778961121.843631136] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.055
[INFO] [1778961121.893665664] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.058
[INFO] [1778961121.943512960] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.058
[INFO] [1778961121.993576896] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.066
[INFO] [1778961122.043580640] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.066
[INFO] [1778961122.093622176] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.071
[INFO] [1778961122.143610496] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.071
[INFO] [1778961122.193737760] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.061
[INFO] [1778961122.243660480] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.061
[INFO] [1778961122.292482048] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.054
[INFO] [1778961122.342578112] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.054
[INFO] [1778961122.392526880] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.054
[INFO] [1778961122.442466688] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.054
[INFO] [1778961122.492443584] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.035
[INFO] [1778961122.542515648] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.035
[INFO] [1778961122.592408032] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.029
[INFO] [1778961122.642495968] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.029
[INFO] [1778961122.692427200] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.022
[INFO] [1778961122.742515328] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.022
[INFO] [1778961122.792428960] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.020
[INFO] [1778961122.842560352] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.020
[INFO] [1778961122.892425536] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.005
[INFO] [1778961122.942489408] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.005
[INFO] [1778961122.992446688] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.056
[INFO] [1778961123.042467200] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.056
[INFO] [1778961123.092363040] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.064
[INFO] [1778961123.142574464] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.064
[INFO] [1778961123.192478464] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.060
[INFO] [1778961123.242488928] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.060
[INFO] [1778961123.292531264] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.057
[INFO] [1778961123.342543520] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.057
[INFO] [1778961123.392486240] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.057
[INFO] [1778961123.442583456] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.057
[INFO] [1778961123.492461824] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.061
[INFO] [1778961123.542556864] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.061
[INFO] [1778961123.592420928] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.053
[INFO] [1778961123.642459040] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.053
[INFO] [1778961123.692459520] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.053
[INFO] [1778961123.742543968] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.053
[INFO] [1778961123.792455872] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.060
[INFO] [1778961123.842579104] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.060
[INFO] [1778961123.892503488] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.046
[INFO] [1778961123.942505760] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.046
[INFO] [1778961123.992463904] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.039
[INFO] [1778961124.042613056] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.039
[INFO] [1778961124.092419232] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.034
[INFO] [1778961124.142401856] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.034
[INFO] [1778961124.192578368] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.030
[INFO] [1778961124.242534624] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.030
[INFO] [1778961124.292532928] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.018
[INFO] [1778961124.342577568] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.018
[INFO] [1778961124.393746848] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.001
[INFO] [1778961124.443944832] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.001
[INFO] [1778961124.494892096] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.002
[INFO] [1778961124.544981344] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.002
[INFO] [1778961124.594401760] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.015
[INFO] [1778961124.643846528] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.015
[INFO] [1778961124.693634624] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.014
[INFO] [1778961124.743687776] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.014
[INFO] [1778961124.793573440] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.014
[INFO] [1778961124.843537408] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.014
[INFO] [1778961124.893554848] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.009
[INFO] [1778961124.943605600] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.009
[INFO] [1778961124.993602368] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.008
[INFO] [1778961125.043648544] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.008
[INFO] [1778961125.093621952] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.014
[INFO] [1778961125.143734912] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.014
[INFO] [1778961125.193885984] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.012
[INFO] [1778961125.243721952] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.012
[INFO] [1778961125.293287200] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.026
[INFO] [1778961125.343753312] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.026
[INFO] [1778961125.393671424] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.032
[INFO] [1778961125.443735712] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.032
[INFO] [1778961125.493643680] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.029
[INFO] [1778961125.543641888] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.029
[INFO] [1778961125.593549600] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.021
[INFO] [1778961125.643730592] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.021
[INFO] [1778961125.693345024] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.016
[INFO] [1778961125.743627200] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.016
[INFO] [1778961125.793618912] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.015
[INFO] [1778961125.843846176] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.015
[INFO] [1778961125.892527744] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.002
