1784988380.339752 [0]    python3: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
CALIBRATING samples=0/15 dropped_cloud_frames=0 rejected_motion=0 rejected_source=0
LEVEL_FRAME_READY samples=15 tilt_deg=34.324048 spread_deg=0.757724 source_disagreement_deg=0.912658
POINTS 310652 FRAMES 516/1563 LEVEL_TILT_DEG 34.324048
POINTS 314422 FRAMES 522/1582 LEVEL_TILT_DEG 34.324048
POINTS 318708 FRAMES 529/1602 LEVEL_TILT_DEG 34.324048
POINTS 322183 FRAMES 535/1622 LEVEL_TILT_DEG 34.324048
POINTS 325989 FRAMES 542/1642 LEVEL_TILT_DEG 34.324048
POINTS 329500 FRAMES 549/1663 LEVEL_TILT_DEG 34.324048
POINTS 332469 FRAMES 555/1682 LEVEL_TILT_DEG 34.324048
POINTS 335867 FRAMES 562/1703 LEVEL_TILT_DEG 34.324048
POINTS 333834 FRAMES 567/1718 LEVEL_TILT_DEG 34.324048
POINTS 337671 FRAMES 574/1738 LEVEL_TILT_DEG 34.324048
POINTS 341526 FRAMES 581/1758 LEVEL_TILT_DEG 34.324048
POINTS 344749 FRAMES 587/1777 LEVEL_TILT_DEG 34.324048
POINTS 348401 FRAMES 594/1797 LEVEL_TILT_DEG 34.324048
POINTS 351536 FRAMES 600/1817 LEVEL_TILT_DEG 34.324048
POINTS 354970 FRAMES 607/1838 LEVEL_TILT_DEG 34.324048
POINTS 358047 FRAMES 614/1858 LEVEL_TILT_DEG 34.324048
POINTS 360707 FRAMES 620/1877 LEVEL_TILT_DEG 34.324048
POINTS 363770 FRAMES 627/1898 LEVEL_TILT_DEG 34.324048
POINTS 362269 FRAMES 632/1911 LEVEL_TILT_DEG 34.324048
POINTS 364811 FRAMES 638/1931 LEVEL_TILT_DEG 34.324048
POINTS 367601 FRAMES 645/1951 LEVEL_TILT_DEG 34.324048
POINTS 369938 FRAMES 651/1969 LEVEL_TILT_DEG 34.324048
POINTS 372290 FRAMES 657/1987 LEVEL_TILT_DEG 34.324048
POINTS 375147 FRAMES 664/2007 LEVEL_TILT_DEG 34.324048
POINTS 377813 FRAMES 671/2028 LEVEL_TILT_DEG 34.324048
POINTS 379776 FRAMES 677/2048 LEVEL_TILT_DEG 34.324048
POINTS 381770 FRAMES 684/2067 LEVEL_TILT_DEG 34.324048
POINTS 383284 FRAMES 691/2088 LEVEL_TILT_DEG 34.324048
POINTS 380770 FRAMES 695/2101 LEVEL_TILT_DEG 34.324048
POINTS 382140 FRAMES 702/2121 LEVEL_TILT_DEG 34.324048
POINTS 383216 FRAMES 708/2141 LEVEL_TILT_DEG 34.324048
POINTS 384458 FRAMES 715/2161 LEVEL_TILT_DEG 34.324048
POINTS 385707 FRAMES 722/2181 LEVEL_TILT_DEG 34.324048
POINTS 386854 FRAMES 728/2201 LEVEL_TILT_DEG 34.324048
POINTS 388395 FRAMES 735/2220 LEVEL_TILT_DEG 34.324048
POINTS 389859 FRAMES 741/2240 LEVEL_TILT_DEG 34.324048
POINTS 391664 FRAMES 748/2260 LEVEL_TILT_DEG 34.324048
POINTS 391781 FRAMES 754/2279 LEVEL_TILT_DEG 34.324048
POINTS 393851 FRAMES 761/2300 LEVEL_TILT_DEG 34.324048
POINTS 395921 FRAMES 768/2320 LEVEL_TILT_DEG 34.324048
POINTS 397723 FRAMES 774/2339 LEVEL_TILT_DEG 34.324048
POINTS 399495 FRAMES 780/2357 LEVEL_TILT_DEG 34.324048
POINTS 401734 FRAMES 787/2376 LEVEL_TILT_DEG 34.324048
POINTS 403723 FRAMES 793/2395 LEVEL_TILT_DEG 34.324048
POINTS 405999 FRAMES 800/2415 LEVEL_TILT_DEG 34.324048
POINTS 407850 FRAMES 806/2435 LEVEL_TILT_DEG 34.324048
POINTS 410006 FRAMES 813/2456 LEVEL_TILT_DEG 34.324048
POINTS 409242 FRAMES 817/2468 LEVEL_TILT_DEG 34.324048
POINTS 411526 FRAMES 824/2488 LEVEL_TILT_DEG 34.324048
POINTS 413401 FRAMES 830/2507 LEVEL_TILT_DEG 34.324048
POINTS 415724 FRAMES 837/2527 LEVEL_TILT_DEG 34.324048
POINTS 418314 FRAMES 844/2547 LEVEL_TILT_DEG 34.324048
POINTS 420983 FRAMES 851/2568 LEVEL_TILT_DEG 34.324048
POINTS 423111 FRAMES 857/2588 LEVEL_TILT_DEG 34.324048
POINTS 425239 FRAMES 863/2605 LEVEL_TILT_DEG 34.324048
POINTS 427666 FRAMES 870/2626 LEVEL_TILT_DEG 34.324048
POINTS 430300 FRAMES 877/2646 LEVEL_TILT_DEG 34.324048
POINTS 429328 FRAMES 881/2659 LEVEL_TILT_DEG 34.324048
POINTS 431560 FRAMES 887/2678 LEVEL_TILT_DEG 34.324048
POINTS 434157 FRAMES 894/2698 LEVEL_TILT_DEG 34.324048
POINTS 436797 FRAMES 901/2718 LEVEL_TILT_DEG 34.324048
POINTS 439571 FRAMES 908/2739 LEVEL_TILT_DEG 34.324048
POINTS 442002 FRAMES 914/2759 LEVEL_TILT_DEG 34.324048
