[INFO] [1784980076.404214675] [waypoint_follower]: nearest=27, target=29, dist=0.99, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980077.454207579] [waypoint_follower]: nearest=28, target=30, dist=0.98, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980078.504237188] [waypoint_follower]: nearest=29, target=31, dist=0.94, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980079.504217632] [waypoint_follower]: nearest=30, target=32, dist=0.96, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980080.504029184] [waypoint_follower]: nearest=31, target=33, dist=0.97, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784980081.554637694] [waypoint_follower]: nearest=32, target=34, dist=0.84, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980082.554350464] [waypoint_follower]: nearest=33, target=35, dist=0.90, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980083.557222466] [waypoint_follower]: nearest=34, target=36, dist=0.88, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980084.604168846] [waypoint_follower]: nearest=35, target=37, dist=0.78, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980085.605121784] [waypoint_follower]: nearest=36, target=38, dist=0.92, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784980086.654305462] [waypoint_follower]: nearest=37, target=39, dist=0.67, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980087.704021385] [waypoint_follower]: nearest=39, target=41, dist=1.05, alpha=-0.08, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1784980088.704886647] [waypoint_follower]: nearest=40, target=42, dist=0.96, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784980089.754188339] [waypoint_follower]: nearest=41, target=43, dist=0.93, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784980090.754164020] [waypoint_follower]: nearest=42, target=44, dist=0.92, alpha=0.01, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980091.755228190] [waypoint_follower]: nearest=43, target=45, dist=0.91, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784980092.804076709] [waypoint_follower]: nearest=44, target=46, dist=0.92, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980093.853988023] [waypoint_follower]: nearest=45, target=47, dist=0.96, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980094.854315121] [waypoint_follower]: nearest=46, target=48, dist=0.85, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
