1784813297.794949 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784813298.396142915] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784813298.399350952] [unitree_safe_cmd_node]: cloud safety freshness uses local receive time; message header stamp is diagnostic only, receive_timeout=1.00s
[INFO] [1784813298.402579121] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784813309.988159868] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.32, clear_frames=55, cloud_receive_age=0.079s, cloud_stamp_age=1.380s
[INFO] [1784813310.488659833] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.368, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.48, clear_frames=61, cloud_receive_age=0.058s, cloud_stamp_age=1.305s
[INFO] [1784813311.042892744] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.297, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.36, clear_frames=68, cloud_receive_age=0.006s, cloud_stamp_age=1.216s
[INFO] [1784813311.589476843] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.31, clear_frames=74, cloud_receive_age=0.010s, cloud_stamp_age=1.161s
[INFO] [1784813312.088740783] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.33, clear_frames=77, cloud_receive_age=0.160s, cloud_stamp_age=1.213s
[INFO] [1784813312.638548446] [unitree_safe_cmd_node]: Move x=0.465, y=-0.000, z=0.500, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.30, clear_frames=80, cloud_receive_age=0.134s, cloud_stamp_age=1.492s
[INFO] [1784813313.139244790] [unitree_safe_cmd_node]: Move x=0.350, y=-0.000, z=0.600, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.46, clear_frames=84, cloud_receive_age=0.063s, cloud_stamp_age=1.666s
[INFO] [1784813313.640453473] [unitree_safe_cmd_node]: Move x=0.350, y=-0.000, z=0.600, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.29, clear_frames=87, cloud_receive_age=0.145s, cloud_stamp_age=1.786s
[INFO] [1784813314.190221897] [unitree_safe_cmd_node]: Move x=0.350, y=-0.000, z=0.600, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.40, clear_frames=92, cloud_receive_age=0.123s, cloud_stamp_age=1.860s
[INFO] [1784813314.738846855] [unitree_safe_cmd_node]: Move x=0.444, y=-0.000, z=0.549, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.41, clear_frames=97, cloud_receive_age=0.109s, cloud_stamp_age=1.928s
[INFO] [1784813315.288328393] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.232, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.28, clear_frames=102, cloud_receive_age=0.083s, cloud_stamp_age=2.006s
[INFO] [1784813315.788063240] [unitree_safe_cmd_node]: Move x=0.448, y=-0.000, z=-0.267, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.35, clear_frames=108, cloud_receive_age=0.012s, cloud_stamp_age=1.783s
[INFO] [1784813316.338414916] [unitree_safe_cmd_node]: Move x=0.170, y=-0.000, z=-0.600, stop_count=0, roi_count=16, lateral_count=0, nearest_x=1.29, clear_frames=113, cloud_receive_age=0.073s, cloud_stamp_age=1.775s
[INFO] [1784813316.839619589] [unitree_safe_cmd_node]: Move x=0.000, y=-0.000, z=-0.600, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.45, clear_frames=118, cloud_receive_age=0.088s, cloud_stamp_age=1.665s
[INFO] [1784813317.387975051] [unitree_safe_cmd_node]: Move x=0.000, y=-0.000, z=-0.600, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.45, clear_frames=124, cloud_receive_age=0.020s, cloud_stamp_age=1.685s
[INFO] [1784813317.907830347] [unitree_safe_cmd_node]: Move x=0.000, y=-0.000, z=-0.600, stop_count=0, roi_count=1, lateral_count=0, nearest_x=1.38, clear_frames=127, cloud_receive_age=0.018s, cloud_stamp_age=1.906s
[INFO] [1784813318.438032975] [unitree_safe_cmd_node]: Move x=0.090, y=-0.000, z=-0.600, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.38, clear_frames=131, cloud_receive_age=0.082s, cloud_stamp_age=1.980s
[INFO] [1784813318.988105783] [unitree_safe_cmd_node]: Move x=0.366, y=-0.000, z=-0.433, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.31, clear_frames=137, cloud_receive_age=0.061s, cloud_stamp_age=1.955s
[INFO] [1784813319.538024785] [unitree_safe_cmd_node]: Move x=0.434, y=-0.000, z=-0.571, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=142, cloud_receive_age=0.114s, cloud_stamp_age=1.955s
[INFO] [1784813320.090607099] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.237, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.27, clear_frames=148, cloud_receive_age=0.005s, cloud_stamp_age=1.722s
[INFO] [1784813320.638082509] [unitree_safe_cmd_node]: Move x=0.470, y=-0.000, z=0.100, stop_count=0, roi_count=16, lateral_count=0, nearest_x=1.24, clear_frames=154, cloud_receive_age=0.009s, cloud_stamp_age=1.668s
[INFO] [1784813321.138746502] [unitree_safe_cmd_node]: Move x=0.350, y=-0.000, z=0.600, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.37, clear_frames=159, cloud_receive_age=0.072s, cloud_stamp_age=1.608s
[INFO] [1784813321.688308693] [unitree_safe_cmd_node]: Move x=0.195, y=-0.000, z=0.600, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.46, clear_frames=166, cloud_receive_age=0.014s, cloud_stamp_age=1.520s
[INFO] [1784813322.188148084] [unitree_safe_cmd_node]: Move x=0.102, y=-0.000, z=0.600, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.40, clear_frames=171, cloud_receive_age=0.081s, cloud_stamp_age=1.457s
[INFO] [1784813322.738153351] [unitree_safe_cmd_node]: Move x=0.161, y=-0.000, z=0.600, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=178, cloud_receive_age=0.017s, cloud_stamp_age=1.375s
[INFO] [1784813323.240588831] [unitree_safe_cmd_node]: Move x=0.398, y=-0.000, z=0.500, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.32, clear_frames=184, cloud_receive_age=0.005s, cloud_stamp_age=1.293s
[INFO] [1784813323.787990139] [unitree_safe_cmd_node]: Move x=0.470, y=-0.000, z=-0.050, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.29, clear_frames=190, cloud_receive_age=0.024s, cloud_stamp_age=1.226s
[INFO] [1784813324.288668781] [unitree_safe_cmd_node]: Move x=0.230, y=-0.000, z=-0.550, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.26, clear_frames=196, cloud_receive_age=0.006s, cloud_stamp_age=1.148s
[INFO] [1784813324.838066972] [unitree_safe_cmd_node]: Move x=0.147, y=-0.000, z=-0.600, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.36, clear_frames=202, cloud_receive_age=0.037s, cloud_stamp_age=1.070s
[INFO] [1784813325.389147660] [unitree_safe_cmd_node]: Move x=0.350, y=-0.000, z=-0.600, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.32, clear_frames=208, cloud_receive_age=0.068s, cloud_stamp_age=0.993s
[INFO] [1784813325.938348860] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.279, stop_count=0, roi_count=17, lateral_count=0, nearest_x=1.29, clear_frames=215, cloud_receive_age=0.011s, cloud_stamp_age=0.905s
[INFO] [1784813326.438100472] [unitree_safe_cmd_node]: Move x=0.290, y=-0.000, z=0.222, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.38, clear_frames=220, cloud_receive_age=0.080s, cloud_stamp_age=0.839s
[INFO] [1784813326.938878364] [unitree_safe_cmd_node]: Move x=0.260, y=-0.000, z=0.600, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=226, cloud_receive_age=0.058s, cloud_stamp_age=0.765s
[INFO] [1784813327.492606468] [unitree_safe_cmd_node]: Move x=0.360, y=-0.000, z=0.600, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=233, cloud_receive_age=0.005s, cloud_stamp_age=0.677s
[INFO] [1784813328.037970148] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.179, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.35, clear_frames=239, cloud_receive_age=0.030s, cloud_stamp_age=0.601s
