# idx stamp x y z qx qy qz qw yaw pcd_file
44 1778757707.292195559 -4.164744 1.413042 -1.152954 -0.172928089 -0.000297525 0.722401065 -0.669501672 -1.615975468 keyframe_000044.pcd
45 1778757709.493270636 -4.144004 0.525892 -1.170529 -0.178857665 0.020085065 0.660623502 -0.728823102 -1.441290068 keyframe_000045.pcd
46 1778757709.893285990 -4.074906 0.406827 -1.159863 -0.152788936 0.001398568 0.593423292 -0.790254631 -1.265521985 keyframe_000046.pcd
47 1778757710.393272161 -3.980535 0.311231 -1.136585 -0.122843087 -0.003240563 0.488826886 -0.863682436 -1.016612674 keyframe_000047.pcd
48 1778757710.693318844 -3.890210 0.290781 -1.108606 -0.098617679 -0.005165823 0.397815292 -0.912135331 -0.814698913 keyframe_000048.pcd
49 1778757710.993260622 -3.817081 0.295848 -1.093052 -0.087214135 -0.001076906 0.272183284 -0.958284298 -0.549324443 keyframe_000049.pcd
50 1778757711.393314600 -3.719130 0.307077 -1.072309 -0.063108430 -0.002994809 0.160579029 -0.984998849 -0.321584842 keyframe_000050.pcd
51 1778757711.693316936 -3.631252 0.344865 -1.033899 -0.016181144 0.009499329 0.060403811 -0.997997652 -0.121187038 keyframe_000051.pcd
52 1778757726.192988634 -2.649991 0.212559 -0.763453 -0.014647250 0.039595615 0.051024935 -0.997804641 -0.103481215 keyframe_000052.pcd
53 1778757738.092990160 -2.193563 0.248174 -0.636453 0.015253265 0.003237538 -0.038606663 -0.999132815 0.077323243 keyframe_000053.pcd
54 1778757741.393117428 -1.453017 0.297249 -0.423616 -0.023723119 0.023580460 0.055755559 -0.997884008 -0.112743692 keyframe_000054.pcd
55 1778757744.093007326 -0.762631 0.227894 -0.218301 0.009999446 0.035454673 -0.035956910 -0.998674160 0.072770579 keyframe_000055.pcd
56 1778757744.892939568 -0.551265 0.212082 -0.153806 -0.012145487 0.035434733 0.056344492 -0.997708457 -0.113810359 keyframe_000056.pcd
57 1778757745.193125486 -0.460595 0.136010 -0.139925 -0.054738857 -0.000824737 0.167195921 -0.984402611 -0.335404626 keyframe_000057.pcd
58 1778757747.492902756 -0.037914 0.016754 -0.017699 -0.016681191 0.056244253 0.075540018 -0.995415505 -0.153789684 keyframe_000058.pcd
