# idx stamp x y z qx qy qz qw yaw pcd_file
43 1778824329.474215508 1.869729 -19.717750 0.239046 0.149607656 0.015431492 -0.654314213 0.741115598 -1.423441345 keyframe_000043.pcd
44 1778824329.675071478 1.850611 -19.983684 0.222229 0.210824259 0.022170991 -0.722897026 0.657633232 -1.619769976 keyframe_000044.pcd
45 1778824329.774924278 1.811531 -20.079967 0.218128 0.192418183 0.009928845 -0.756490141 0.624979461 -1.723306223 keyframe_000045.pcd
46 1778824330.075117350 1.644007 -20.426094 0.189308 0.217877558 0.016331063 -0.792967367 0.568740206 -1.851626573 keyframe_000046.pcd
47 1778824330.175101280 1.553384 -20.531880 0.187299 0.207890737 0.011211375 -0.824710629 0.525840399 -1.966673877 keyframe_000047.pcd
48 1778824330.275010586 1.486292 -20.631960 0.162432 0.199227554 0.003167664 -0.858198692 0.473068021 -2.098977135 keyframe_000048.pcd
49 1778824330.475119591 1.279597 -20.782858 0.107750 0.237197212 -0.007613116 -0.896149109 0.374961729 -2.302131868 keyframe_000049.pcd
50 1778824330.675220966 1.081798 -20.917065 0.053346 0.232219109 -0.010832927 -0.916480189 0.325608655 -2.417156062 keyframe_000050.pcd
51 1778824331.075098515 0.630824 -21.150617 -0.063213 0.240002122 0.009961123 -0.927968281 0.284911613 -2.514083812 keyframe_000051.pcd
52 1778824331.375157118 0.290547 -21.294128 -0.135414 0.247725073 0.014123133 -0.945410991 0.211260227 -2.679512999 keyframe_000052.pcd
53 1778824331.675062656 -0.057564 -21.428315 -0.249374 0.247565762 -0.015458550 -0.956727536 0.152133656 -2.796519642 keyframe_000053.pcd
54 1778824332.075017452 -0.556532 -21.542070 -0.319315 0.232061343 -0.004232223 -0.958760974 0.164033582 -2.780657399 keyframe_000054.pcd
55 1778824332.374952078 -0.937767 -21.688605 -0.390800 0.246820160 0.013657310 -0.946057791 0.209446754 -2.683686139 keyframe_000055.pcd
56 1778824332.775191545 -1.385047 -21.900827 -0.490679 0.245346706 0.019886217 -0.940234298 0.235306177 -2.628968729 keyframe_000056.pcd
57 1778824333.175001621 -1.808812 -22.200187 -0.591507 0.227168752 0.023988865 -0.916881436 0.327333659 -2.429296681 keyframe_000057.pcd
58 1778824333.274969339 -1.868568 -22.286145 -0.595736 0.207653758 0.016962273 -0.897063563 0.389703941 -2.293219084 keyframe_000058.pcd
59 1778824333.375222921 -1.936943 -22.370441 -0.608898 0.216303150 0.050879878 -0.872307325 0.435550360 -2.191025392 keyframe_000059.pcd
60 1778824333.575185776 -2.083363 -22.570230 -0.596034 0.208911492 0.034985285 -0.843712108 0.493236148 -2.051233640 keyframe_000060.pcd
61 1778824333.875210285 -2.232738 -22.898081 -0.628728 0.203535758 0.041853613 -0.819864908 0.533519449 -1.956061507 keyframe_000061.pcd
62 1778824334.273865938 -2.388354 -23.378257 -0.745043 0.213470247 0.041233271 -0.804628364 0.552542729 -1.900505189 keyframe_000062.pcd
63 1778824334.775113106 -2.589570 -23.949066 -0.804194 0.196763321 0.018567736 -0.805307545 0.558944713 -1.892631585 keyframe_000063.pcd
64 1778824335.174830198 -2.798637 -24.371824 -0.838846 0.198678014 0.023595451 -0.845912473 0.494370701 -2.052409785 keyframe_000064.pcd
65 1778824335.474784136 -3.015794 -24.658851 -0.902168 0.231394565 0.019512161 -0.864552737 0.445672969 -2.147756274 keyframe_000065.pcd
