[INFO] [1784969399.745068624] [waypoint_follower]: nearest=31, target=33, dist=1.03, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969400.745600028] [waypoint_follower]: nearest=32, target=34, dist=0.93, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969401.795288584] [waypoint_follower]: nearest=33, target=35, dist=0.97, alpha=0.07, vx=0.50, yaw_rate=0.06, dir=1
[INFO] [1784969402.845277992] [waypoint_follower]: nearest=34, target=36, dist=0.90, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969403.845356301] [waypoint_follower]: nearest=35, target=37, dist=0.91, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969404.895780148] [waypoint_follower]: nearest=36, target=38, dist=0.82, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969405.895582278] [waypoint_follower]: nearest=37, target=39, dist=0.80, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969406.945637714] [waypoint_follower]: nearest=38, target=40, dist=0.74, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969407.995375991] [waypoint_follower]: nearest=39, target=41, dist=0.68, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969409.045586842] [waypoint_follower]: nearest=40, target=42, dist=0.63, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969410.045729365] [waypoint_follower]: nearest=42, target=44, dist=1.01, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969411.095136945] [waypoint_follower]: nearest=43, target=45, dist=0.93, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969412.096231586] [waypoint_follower]: nearest=44, target=46, dist=0.86, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969413.145137106] [waypoint_follower]: nearest=45, target=47, dist=0.93, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784969414.145334498] [waypoint_follower]: nearest=46, target=48, dist=0.83, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969415.145598877] [waypoint_follower]: nearest=47, target=49, dist=0.77, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969416.147224957] [waypoint_follower]: nearest=48, target=50, dist=0.78, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969417.150733228] [waypoint_follower]: nearest=49, target=51, dist=0.79, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784969418.198389988] [waypoint_follower]: nearest=50, target=52, dist=0.77, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969419.245126587] [waypoint_follower]: nearest=51, target=53, dist=0.79, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969420.245098727] [waypoint_follower]: nearest=52, target=54, dist=0.76, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969421.245177907] [waypoint_follower]: nearest=53, target=55, dist=0.70, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969422.295066213] [waypoint_follower]: nearest=55, target=57, dist=1.02, alpha=0.04, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1784969423.295745674] [waypoint_follower]: nearest=56, target=58, dist=0.99, alpha=0.02, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969424.296022097] [waypoint_follower]: nearest=57, target=59, dist=1.01, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969425.345061308] [waypoint_follower]: nearest=58, target=60, dist=0.99, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784969426.345439017] [waypoint_follower]: nearest=59, target=61, dist=0.95, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969427.395563399] [waypoint_follower]: nearest=60, target=62, dist=0.87, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969428.395235387] [waypoint_follower]: nearest=61, target=63, dist=0.86, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969429.445488108] [waypoint_follower]: nearest=62, target=64, dist=0.76, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969430.445441380] [waypoint_follower]: nearest=63, target=65, dist=0.78, alpha=-0.08, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1784969431.495224397] [waypoint_follower]: nearest=64, target=66, dist=0.80, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784969432.545388310] [waypoint_follower]: nearest=65, target=67, dist=0.76, alpha=-0.08, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1784969433.545122663] [waypoint_follower]: nearest=66, target=68, dist=0.71, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969434.595637382] [waypoint_follower]: nearest=67, target=69, dist=0.69, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969435.645456162] [waypoint_follower]: nearest=69, target=71, dist=1.11, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784969436.695248518] [waypoint_follower]: nearest=70, target=72, dist=0.99, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969437.695443571] [waypoint_follower]: nearest=71, target=73, dist=1.00, alpha=0.07, vx=0.50, yaw_rate=0.06, dir=1
[INFO] [1784969438.745535431] [waypoint_follower]: nearest=72, target=74, dist=0.93, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969439.745227590] [waypoint_follower]: nearest=73, target=75, dist=0.89, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969440.795591317] [waypoint_follower]: nearest=74, target=76, dist=0.86, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969441.799359578] [waypoint_follower]: nearest=75, target=77, dist=0.87, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969442.845512907] [waypoint_follower]: nearest=76, target=78, dist=0.82, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969443.895487834] [waypoint_follower]: nearest=77, target=79, dist=0.79, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969444.900711271] [waypoint_follower]: nearest=78, target=80, dist=0.87, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969445.945556744] [waypoint_follower]: nearest=79, target=81, dist=0.76, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969446.996336988] [waypoint_follower]: nearest=80, target=82, dist=0.73, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969448.046128486] [waypoint_follower]: nearest=82, target=84, dist=1.15, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969449.077210900] [waypoint_follower]: nearest=82, target=84, dist=0.74, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969450.095226075] [waypoint_follower]: nearest=83, target=85, dist=0.72, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969451.096335385] [waypoint_follower]: nearest=84, target=86, dist=0.67, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969452.097067340] [waypoint_follower]: nearest=86, target=88, dist=1.06, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969453.145267489] [waypoint_follower]: nearest=87, target=89, dist=1.02, alpha=0.03, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784969454.195897342] [waypoint_follower]: nearest=88, target=90, dist=1.02, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969455.195478723] [waypoint_follower]: nearest=89, target=91, dist=1.06, alpha=0.06, vx=0.50, yaw_rate=0.05, dir=1
[INFO] [1784969456.248255031] [waypoint_follower]: nearest=90, target=92, dist=1.11, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969457.246493486] [waypoint_follower]: nearest=91, target=93, dist=1.07, alpha=0.01, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969458.295495540] [waypoint_follower]: nearest=92, target=94, dist=1.04, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969459.345381030] [waypoint_follower]: nearest=93, target=95, dist=0.92, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969460.345276449] [waypoint_follower]: nearest=94, target=96, dist=0.92, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969461.346151339] [waypoint_follower]: nearest=95, target=97, dist=0.87, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969462.395118795] [waypoint_follower]: nearest=96, target=98, dist=0.89, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969463.396004299] [waypoint_follower]: nearest=97, target=99, dist=0.87, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969464.445596232] [waypoint_follower]: nearest=98, target=100, dist=0.80, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969465.495462337] [waypoint_follower]: nearest=99, target=101, dist=0.74, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969466.545181558] [waypoint_follower]: nearest=100, target=102, dist=0.72, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969467.595347788] [waypoint_follower]: nearest=101, target=103, dist=0.70, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969468.595240181] [waypoint_follower]: nearest=102, target=104, dist=0.66, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969469.596132575] [waypoint_follower]: nearest=104, target=106, dist=1.07, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1784969470.647000672] [waypoint_follower]: nearest=105, target=107, dist=1.03, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969471.695093229] [waypoint_follower]: nearest=106, target=108, dist=1.04, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969472.747745793] [waypoint_follower]: nearest=107, target=109, dist=1.06, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969473.797801000] [waypoint_follower]: nearest=108, target=110, dist=1.07, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969474.847787488] [waypoint_follower]: nearest=109, target=111, dist=0.99, alpha=0.04, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784969475.849778937] [waypoint_follower]: nearest=110, target=112, dist=0.93, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969476.899950761] [waypoint_follower]: nearest=111, target=113, dist=0.90, alpha=0.02, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969477.945049247] [waypoint_follower]: nearest=112, target=114, dist=0.89, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969478.955166399] [waypoint_follower]: nearest=113, target=115, dist=0.91, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969479.995294893] [waypoint_follower]: nearest=114, target=116, dist=0.83, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969481.045271858] [waypoint_follower]: nearest=115, target=117, dist=0.79, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969482.046349089] [waypoint_follower]: nearest=116, target=118, dist=0.78, alpha=-0.07, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1784969483.095025854] [waypoint_follower]: nearest=117, target=119, dist=0.77, alpha=-0.09, vx=0.50, yaw_rate=-0.08, dir=1
[INFO] [1784969484.096399293] [waypoint_follower]: nearest=118, target=120, dist=0.78, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969485.145579348] [waypoint_follower]: nearest=119, target=121, dist=0.73, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969486.195394580] [waypoint_follower]: nearest=120, target=122, dist=0.70, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969487.195132463] [waypoint_follower]: nearest=121, target=123, dist=0.71, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
