[INFO] [0001202337.207345568] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [0001202337.208416384] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/tju206260710test6-lx.csv
[INFO] [0001202337.209646528] [waypoint_follower]: route points: 178
[INFO] [0001202337.210630048] [waypoint_follower]: loop_mode: pingpong
[INFO] [0001202337.211473696] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [0001202337.212260320] [waypoint_follower]: reach_distance: 0.4
[INFO] [0001202337.401995904] [waypoint_follower]: init nearest_index=0, distance_to_start=0.138
[INFO] [0001202374.515486400] [waypoint_follower]: nearest=14, target=16, dist=0.98, alpha=-0.08, vx=0.25, yaw_rate=-0.07, dir=1
[INFO] [0001202375.515348032] [waypoint_follower]: nearest=15, target=17, dist=1.21, alpha=0.03, vx=0.25, yaw_rate=0.03, dir=1
[INFO] [0001202376.515606944] [waypoint_follower]: nearest=15, target=17, dist=1.01, alpha=0.02, vx=0.25, yaw_rate=0.02, dir=1
[INFO] [0001202377.565102656] [waypoint_follower]: nearest=15, target=17, dist=0.91, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[WARN] [0001202378.318632960] [waypoint_follower]: stuck recovery: nearest_index 15 -> 15
[INFO] [0001202378.565309888] [waypoint_follower]: nearest=16, target=18, dist=1.08, alpha=0.08, vx=0.25, yaw_rate=0.08, dir=1
[INFO] [0001202379.614987232] [waypoint_follower]: nearest=16, target=18, dist=0.91, alpha=-0.00, vx=0.25, yaw_rate=-0.00, dir=1
[INFO] [0001202380.616744704] [waypoint_follower]: nearest=16, target=18, dist=0.73, alpha=-0.03, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202381.665160000] [waypoint_follower]: nearest=17, target=19, dist=1.03, alpha=0.14, vx=0.25, yaw_rate=0.13, dir=1
[INFO] [0001202382.667680544] [waypoint_follower]: nearest=17, target=19, dist=0.86, alpha=0.04, vx=0.25, yaw_rate=0.04, dir=1
[INFO] [0001202383.715428416] [waypoint_follower]: nearest=18, target=20, dist=1.07, alpha=0.03, vx=0.25, yaw_rate=0.03, dir=1
[INFO] [0001202384.717937632] [waypoint_follower]: nearest=18, target=20, dist=0.90, alpha=-0.06, vx=0.25, yaw_rate=-0.06, dir=1
[INFO] [0001202385.765186080] [waypoint_follower]: nearest=18, target=20, dist=0.70, alpha=-0.03, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202386.765265504] [waypoint_follower]: nearest=19, target=21, dist=0.94, alpha=0.10, vx=0.25, yaw_rate=0.09, dir=1
[INFO] [0001202387.815204288] [waypoint_follower]: nearest=19, target=21, dist=0.73, alpha=-0.03, vx=0.25, yaw_rate=-0.03, dir=1
