[INFO] [1784784758.159340128] [waypoint_follower]: simple csv waypoint_follower started: sequential line-lock controller
[INFO] [1784784758.162460544] [waypoint_follower]: route_file=/home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/test/line_corner_route.csv, points=17, length=4.00m, loop_mode=once
[INFO] [1784784758.166013568] [waypoint_follower]: line_lock: body-heading rejoin, vy=0, corridor=0.028m, exit=0.015m, lookahead=0.35m, prediction=0.35s, max_intercept=22.0deg, rejoin=0.028/0.015m
[INFO] [1784784758.166659872] [waypoint_follower]: corner: angle=30.0deg, slowdown=0.90m, reach=0.20m, turn_exit=7.0deg
[INFO] [1784784758.171797120] [waypoint_follower]: progress policy: ordered CSV waypoint gates only; nearest-route projection disabled
[INFO] [1784784759.492862528] [waypoint_follower]: route start aligned: distance=0.000m, yaw_error=0.0deg, first_segment=0->1
[INFO] [1784784770.758579552] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.10/4.00, pose=(3.080,0.100,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.002m/s, predicted_line_error=-0.081m, rejoin_angle=13.0deg, target_heading=1.798, heading_error=13.0deg, remaining=0.150m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.230)
[INFO] [1784784771.808578880] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784772.858288480] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784773.858368160] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784774.908238720] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784775.908156288] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784776.957731200] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784778.008182464] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784779.008243872] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
[INFO] [1784784780.007953088] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=12->13, s=3.16/4.00, pose=(3.080,0.160,1.571), route_yaw=1.571, line_error=-0.080m, cross_velocity=-0.000m/s, predicted_line_error=-0.080m, rejoin_angle=12.9deg, target_heading=1.796, heading_error=12.9deg, remaining=0.090m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.270)
