[INFO] [1782536984.404160120] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1782536984.405292271] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/route_test_0518.csv
[INFO] [1782536984.405992541] [waypoint_follower]: route points: 554
[INFO] [1782536984.407885891] [waypoint_follower]: loop_mode: pingpong
[INFO] [1782536984.409331489] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1782536984.409961165] [waypoint_follower]: reach_distance: 0.4
[INFO] [1782536984.464702948] [waypoint_follower]: init nearest_index=0, distance_to_start=0.030
[INFO] [1782537023.621067730] [waypoint_follower]: nearest=32, target=34, dist=0.79, alpha=0.18, vx=0.50, yaw_rate=0.16, dir=1
[INFO] [1782537024.621255362] [waypoint_follower]: nearest=33, target=35, dist=0.84, alpha=0.14, vx=0.50, yaw_rate=0.13, dir=1
[INFO] [1782537025.671270770] [waypoint_follower]: nearest=34, target=36, dist=0.79, alpha=-0.13, vx=0.50, yaw_rate=-0.11, dir=1
[INFO] [1782537026.721163962] [waypoint_follower]: nearest=35, target=37, dist=0.70, alpha=-0.21, vx=0.50, yaw_rate=-0.19, dir=1
[INFO] [1782537027.721236530] [waypoint_follower]: nearest=36, target=38, dist=0.71, alpha=-0.09, vx=0.50, yaw_rate=-0.08, dir=1
[INFO] [1782537028.771273553] [waypoint_follower]: nearest=38, target=40, dist=1.01, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782537029.821161478] [waypoint_follower]: nearest=39, target=41, dist=0.98, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1782537030.821243176] [waypoint_follower]: nearest=40, target=42, dist=0.97, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782537031.871256179] [waypoint_follower]: nearest=41, target=43, dist=0.90, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1782537032.921193366] [waypoint_follower]: nearest=42, target=44, dist=0.81, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1782537033.971019216] [waypoint_follower]: nearest=43, target=45, dist=0.78, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1782537034.971271958] [waypoint_follower]: nearest=44, target=46, dist=0.77, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1782537036.021301831] [waypoint_follower]: nearest=45, target=47, dist=0.69, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1782537037.071005803] [waypoint_follower]: nearest=47, target=49, dist=1.13, alpha=-0.01, vx=0.50, yaw_rate=-0.00, dir=1
