[INFO] [1784211145.401470722] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784211156.873910174] [waypoint_follower]: nearest=12, target=14, s=5.40/8.86, projected_segment_index=12, segment_t=0.07, raw_s=5.40, raw_segment_index=12, raw_t=0.07, projection_limited=False, target_s=6.30, target_xy=(2.58,-0.18), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=14, target_t=0.10, route_yaw=1.58, dist=0.90, route_d=0.03, lateral_error=-0.03, route_heading_error=-0.12, lateral_yaw_rate=0.00, pose=(2.58,-1.08,1.70), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.13, heading_control=lookahead_target:-0.13, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=-0.10, vx=0.20, yaw_rate=-0.10, dir=1, turn_crawl=False
[INFO] [1784211157.871080975] [waypoint_follower]: nearest=12, target=14, s=5.54/8.86, projected_segment_index=12, segment_t=0.41, raw_s=5.54, raw_segment_index=12, raw_t=0.41, projection_limited=False, target_s=6.44, target_xy=(2.59,-0.04), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=14, target_t=0.43, route_yaw=1.58, dist=0.91, route_d=0.08, lateral_error=0.08, route_heading_error=-0.36, lateral_yaw_rate=-0.02, pose=(2.47,-0.94,1.94), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.51, heading_control=lookahead_target:-0.51, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=-0.38, vx=0.20, yaw_rate=-0.40, dir=1, turn_crawl=False
[INFO] [1784211158.877635109] [waypoint_follower]: nearest=13, target=15, s=5.67/8.86, projected_segment_index=12, segment_t=0.72, raw_s=5.67, raw_segment_index=12, raw_t=0.72, projection_limited=False, target_s=6.57, target_xy=(2.61,0.09), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=14, target_t=0.73, route_yaw=1.58, dist=0.91, route_d=0.08, lateral_error=0.08, route_heading_error=-0.18, lateral_yaw_rate=-0.01, pose=(2.47,-0.81,1.76), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.34, heading_control=lookahead_target:-0.34, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=-0.26, vx=0.20, yaw_rate=-0.27, dir=1, turn_crawl=False
[INFO] [1784211159.920011725] [waypoint_follower]: nearest=13, target=14, s=5.81/8.86, projected_segment_index=13, segment_t=0.04, raw_s=5.81, raw_segment_index=13, raw_t=0.04, projection_limited=False, target_s=6.21, target_xy=(2.57,-0.27), lookahead_distance=0.40, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.88, sharp_corner=True, target_segment_index=13, target_t=0.89, route_yaw=1.51, dist=0.40, route_d=0.04, lateral_error=0.04, route_heading_error=0.09, lateral_yaw_rate=-0.01, pose=(2.51,-0.67,1.42), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.00, heading_control=lookahead_target:-0.00, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=-0.01, dir=1, turn_crawl=False
[INFO] [1784211160.969896075] [waypoint_follower]: nearest=13, target=14, s=5.99/8.86, projected_segment_index=13, segment_t=0.43, raw_s=5.99, raw_segment_index=13, raw_t=0.43, projection_limited=False, target_s=6.39, target_xy=(2.59,-0.09), lookahead_distance=0.40, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.69, sharp_corner=True, target_segment_index=14, target_t=0.31, route_yaw=1.51, dist=0.40, route_d=0.00, lateral_error=0.00, route_heading_error=0.26, lateral_yaw_rate=0.00, pose=(2.56,-0.49,1.25), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.24, heading_control=lookahead_target:0.24, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.18, vx=0.20, yaw_rate=0.18, dir=1, turn_crawl=False
[INFO] [1784211162.019993037] [waypoint_follower]: nearest=14, target=15, s=6.14/8.86, projected_segment_index=13, segment_t=0.76, raw_s=6.14, raw_segment_index=13, raw_t=0.76, projection_limited=False, target_s=6.54, target_xy=(2.61,0.06), lookahead_distance=0.40, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.54, sharp_corner=True, target_segment_index=14, target_t=0.67, route_yaw=1.51, dist=0.40, route_d=0.00, lateral_error=-0.00, route_heading_error=0.18, lateral_yaw_rate=0.00, pose=(2.57,-0.34,1.33), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.15, heading_control=lookahead_target:0.15, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.12, vx=0.20, yaw_rate=0.12, dir=1, turn_crawl=False
[INFO] [1784211163.020560677] [waypoint_follower]: nearest=14, target=15, s=6.15/8.86, projected_segment_index=13, segment_t=0.77, raw_s=6.15, raw_segment_index=13, raw_t=0.77, projection_limited=False, target_s=6.55, target_xy=(2.61,0.07), lookahead_distance=0.40, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.53, sharp_corner=True, target_segment_index=14, target_t=0.69, route_yaw=1.51, dist=0.40, route_d=0.04, lateral_error=0.04, route_heading_error=0.08, lateral_yaw_rate=-0.01, pose=(2.53,-0.33,1.43), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.04, heading_control=lookahead_target:-0.04, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=-0.01, dir=1, turn_crawl=False
[INFO] [1784211164.069897870] [waypoint_follower]: nearest=14, target=15, s=6.16/8.86, projected_segment_index=13, segment_t=0.79, raw_s=6.16, raw_segment_index=13, raw_t=0.79, projection_limited=False, target_s=6.56, target_xy=(2.61,0.08), lookahead_distance=0.40, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.52, sharp_corner=True, target_segment_index=14, target_t=0.71, route_yaw=1.51, dist=0.40, route_d=0.04, lateral_error=0.04, route_heading_error=0.09, lateral_yaw_rate=-0.01, pose=(2.53,-0.32,1.42), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=-0.05, heading_control=lookahead_target:-0.05, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=-0.01, dir=1, turn_crawl=False
[WARN] [1784211164.819822392] [waypoint_follower]: no waypoint progress for 3.0s; stuck relocalize disabled; pose=(2.540,-0.309,1.410), progress_s=6.170, last_progress_s=6.121, moved_since_progress=0.060, projected=(2.571,-0.311), projected_segment_index=13, segment_t=0.812, raw_s=6.170, raw_segment_index=13, raw_t=0.812, projection_limited=False, s_limit=[6.146,6.190], projection_dt=0.050, projection_step=0.022, target_s=6.570, target=(2.608,0.087), lookahead_distance=0.400, corner_angle=2.416, corner_angle_deg=138.5, corner_s=6.683, corner_distance=0.513, sharp_corner=True, target_segment_index=14, target_t=0.734, route_yaw=1.515, target_alpha=-0.010, route_heading_error=0.105, heading_control=lookahead_target:-0.010, corner_turn=False, corner_heading_error=0.000, lateral_error=0.032, heading_yaw_rate=0.000, lateral_yaw_rate=-0.006, cmd=(0.200,0.200), dir=1, turn_crawl=False, soft_unstick=True
[INFO] [1784211165.069917492] [waypoint_follower]: nearest=14, target=15, s=6.22/8.86, projected_segment_index=13, segment_t=0.92, raw_s=6.22, raw_segment_index=13, raw_t=0.92, projection_limited=False, target_s=6.62, target_xy=(2.61,0.14), lookahead_distance=0.40, corner_angle=2.42, corner_angle_deg=138.5, corner_s=6.68, corner_distance=0.46, sharp_corner=True, target_segment_index=14, target_t=0.85, route_yaw=1.51, dist=0.40, route_d=0.01, lateral_error=0.01, route_heading_error=0.11, lateral_yaw_rate=0.00, pose=(2.56,-0.26,1.40), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.04, heading_control=lookahead_target:0.04, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.00, vx=0.20, yaw_rate=0.11, dir=1, turn_crawl=False
