[INFO] [1784294564.810856174] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784294564.817677833] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784294564.827038826] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784294565.359422298] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=1
[WARN] [1784294565.859516272] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1784294566.409483032] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[INFO] [1784294566.909907581] [unitree_safe_cmd_node]: Move x=0.129, z=0.113, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[INFO] [1784294567.459085969] [unitree_safe_cmd_node]: Move x=0.200, z=0.113, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[INFO] [1784294567.960390545] [unitree_safe_cmd_node]: Move x=0.200, z=0.114, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[INFO] [1784294568.509152370] [unitree_safe_cmd_node]: Move x=0.200, z=0.112, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[INFO] [1784294569.010261854] [unitree_safe_cmd_node]: Move x=0.200, z=0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[INFO] [1784294569.559091964] [unitree_safe_cmd_node]: Move x=0.200, z=0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[INFO] [1784294570.059492759] [unitree_safe_cmd_node]: Move x=0.200, z=0.112, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[INFO] [1784294570.609044492] [unitree_safe_cmd_node]: Move x=0.200, z=0.113, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[INFO] [1784294571.109276478] [unitree_safe_cmd_node]: Move x=0.200, z=0.114, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1784294571.659132566] [unitree_safe_cmd_node]: Move x=0.200, z=0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[INFO] [1784294572.209935430] [unitree_safe_cmd_node]: Move x=0.200, z=0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[INFO] [1784294572.709969283] [unitree_safe_cmd_node]: Move x=0.200, z=0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=20
[INFO] [1784294573.212674302] [unitree_safe_cmd_node]: Move x=0.200, z=0.113, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[INFO] [1784294573.759057758] [unitree_safe_cmd_node]: Move x=0.200, z=0.060, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=27
[INFO] [1784294574.259094812] [unitree_safe_cmd_node]: Move x=0.200, z=-0.092, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=33
[INFO] [1784294574.759297922] [unitree_safe_cmd_node]: Move x=0.200, z=-0.169, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=39
[INFO] [1784294575.309008219] [unitree_safe_cmd_node]: Move x=0.200, z=-0.193, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=45
[INFO] [1784294575.859124003] [unitree_safe_cmd_node]: Move x=0.200, z=-0.209, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=50
[INFO] [1784294576.409386186] [unitree_safe_cmd_node]: Move x=0.200, z=-0.177, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=56
[INFO] [1784294576.959564109] [unitree_safe_cmd_node]: Move x=0.200, z=-0.140, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=63
[INFO] [1784294577.509315640] [unitree_safe_cmd_node]: Move x=0.200, z=-0.094, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=69
[INFO] [1784294578.009240934] [unitree_safe_cmd_node]: Move x=0.200, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=75
[INFO] [1784294578.562584541] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=81
[INFO] [1784294579.110150650] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=87
[INFO] [1784294579.659079491] [unitree_safe_cmd_node]: Move x=0.200, z=0.042, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=93
[INFO] [1784294580.165433667] [unitree_safe_cmd_node]: Move x=0.200, z=0.054, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=99
