[ERROR] [1784458333.163862240] [waypoint_follower]: route start mismatch: current=(-0.012,0.010,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.871/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458335.164938144] [waypoint_follower]: route start mismatch: current=(-0.006,0.015,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.874/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458337.171356256] [waypoint_follower]: route start mismatch: current=(-0.010,0.013,-0.002), route_start=(2.773,-9.460,-0.219), distance=9.873/0.500, yaw_error=0.217/0.900; hold stop
[ERROR] [1784458339.252010304] [waypoint_follower]: route start mismatch: current=(0.005,0.011,0.006), route_start=(2.773,-9.460,-0.219), distance=9.868/0.500, yaw_error=0.225/0.900; hold stop
[ERROR] [1784458341.309766336] [waypoint_follower]: route start mismatch: current=(-0.004,0.008,0.002), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458343.365318400] [waypoint_follower]: route start mismatch: current=(-0.004,0.005,0.002), route_start=(2.773,-9.460,-0.219), distance=9.864/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458345.671939808] [waypoint_follower]: route start mismatch: current=(-0.005,0.004,0.003), route_start=(2.773,-9.460,-0.219), distance=9.864/0.500, yaw_error=0.222/0.900; hold stop
[ERROR] [1784458347.682502304] [waypoint_follower]: route start mismatch: current=(-0.003,0.009,0.003), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.222/0.900; hold stop
[ERROR] [1784458349.736028384] [waypoint_follower]: route start mismatch: current=(-0.004,0.007,0.003), route_start=(2.773,-9.460,-0.219), distance=9.866/0.500, yaw_error=0.222/0.900; hold stop
[ERROR] [1784458351.776596480] [waypoint_follower]: route start mismatch: current=(-0.004,0.007,0.002), route_start=(2.773,-9.460,-0.219), distance=9.866/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458353.784709888] [waypoint_follower]: route start mismatch: current=(-0.005,0.008,0.001), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.220/0.900; hold stop
[ERROR] [1784458355.841468736] [waypoint_follower]: route start mismatch: current=(-0.003,0.008,0.002), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458357.852996000] [waypoint_follower]: route start mismatch: current=(-0.007,0.009,0.002), route_start=(2.773,-9.460,-0.219), distance=9.869/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458359.923878432] [waypoint_follower]: route start mismatch: current=(-0.005,0.007,0.002), route_start=(2.773,-9.460,-0.219), distance=9.866/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458361.943909760] [waypoint_follower]: route start mismatch: current=(-0.008,0.006,0.002), route_start=(2.773,-9.460,-0.219), distance=9.866/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458364.023420992] [waypoint_follower]: route start mismatch: current=(-0.006,0.011,0.003), route_start=(2.773,-9.460,-0.219), distance=9.870/0.500, yaw_error=0.222/0.900; hold stop
[ERROR] [1784458366.026840096] [waypoint_follower]: route start mismatch: current=(-0.005,0.011,0.003), route_start=(2.773,-9.460,-0.219), distance=9.870/0.500, yaw_error=0.222/0.900; hold stop
[ERROR] [1784458368.119526720] [waypoint_follower]: route start mismatch: current=(-0.009,0.007,0.002), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458370.192702496] [waypoint_follower]: route start mismatch: current=(-0.003,0.007,0.002), route_start=(2.773,-9.460,-0.219), distance=9.866/0.500, yaw_error=0.221/0.900; hold stop
[ERROR] [1784458372.231344896] [waypoint_follower]: route start mismatch: current=(-0.009,0.010,0.002), route_start=(2.773,-9.460,-0.219), distance=9.870/0.500, yaw_error=0.221/0.900; hold stop
