[INFO] [1783340194.081942397] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1783340194.093177215] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/shang8_2.csv
[INFO] [1783340194.097573944] [waypoint_follower]: route points: 140
[INFO] [1783340194.098299925] [waypoint_follower]: loop_mode: pingpong
[INFO] [1783340194.098943392] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1783340194.099550180] [waypoint_follower]: reach_distance: 0.4
[INFO] [1783340194.111719792] [waypoint_follower]: init nearest_index=0, distance_to_start=0.037
[INFO] [1783340233.199521962] [waypoint_follower]: nearest=25, target=27, dist=1.06, alpha=-0.02, vx=0.40, yaw_rate=-0.02, dir=1
[INFO] [1783340234.249458368] [waypoint_follower]: nearest=25, target=27, dist=0.72, alpha=0.01, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340235.299470790] [waypoint_follower]: nearest=26, target=28, dist=0.78, alpha=-0.00, vx=0.40, yaw_rate=-0.00, dir=1
[INFO] [1783340236.299296436] [waypoint_follower]: nearest=27, target=29, dist=0.86, alpha=0.07, vx=0.40, yaw_rate=0.06, dir=1
[INFO] [1783340237.349481248] [waypoint_follower]: nearest=28, target=30, dist=1.02, alpha=-0.02, vx=0.40, yaw_rate=-0.02, dir=1
[INFO] [1783340238.349287434] [waypoint_follower]: nearest=28, target=30, dist=0.70, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340239.349662383] [waypoint_follower]: nearest=29, target=31, dist=0.85, alpha=0.02, vx=0.40, yaw_rate=0.02, dir=1
[INFO] [1783340240.399484172] [waypoint_follower]: nearest=30, target=32, dist=0.99, alpha=0.02, vx=0.40, yaw_rate=0.02, dir=1
[INFO] [1783340241.399521960] [waypoint_follower]: nearest=31, target=33, dist=1.09, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
[INFO] [1783340242.449773634] [waypoint_follower]: nearest=31, target=33, dist=0.78, alpha=0.01, vx=0.40, yaw_rate=0.01, dir=1
[INFO] [1783340243.449676673] [waypoint_follower]: nearest=32, target=34, dist=0.93, alpha=0.02, vx=0.40, yaw_rate=0.02, dir=1
[INFO] [1783340244.499203486] [waypoint_follower]: nearest=33, target=35, dist=0.99, alpha=-0.02, vx=0.40, yaw_rate=-0.02, dir=1
[INFO] [1783340245.499279907] [waypoint_follower]: nearest=33, target=35, dist=0.68, alpha=0.03, vx=0.40, yaw_rate=0.02, dir=1
[INFO] [1783340246.499379789] [waypoint_follower]: nearest=34, target=36, dist=0.85, alpha=-0.01, vx=0.40, yaw_rate=-0.01, dir=1
