1784916590.294209 [0] waypoint_f: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784916590.729148499] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784916590.730050365] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-06/route_runtime.csv
[INFO] [1784916590.730735322] [waypoint_follower]: route points: 340
[INFO] [1784916590.731380773] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784916590.732039147] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1784916590.740504386] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784916590.765003704] [waypoint_follower]: init nearest_index=0, distance_to_start=0.005
[INFO] [1784916628.729250579] [waypoint_follower]: nearest=34, target=36, dist=1.01, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916629.779484438] [waypoint_follower]: nearest=35, target=37, dist=0.96, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784916630.828630895] [waypoint_follower]: nearest=36, target=38, dist=0.99, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916631.878522891] [waypoint_follower]: nearest=37, target=39, dist=1.01, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784916632.878544484] [waypoint_follower]: nearest=38, target=40, dist=1.01, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784916633.878718156] [waypoint_follower]: nearest=39, target=41, dist=1.16, alpha=0.04, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784916634.879093712] [waypoint_follower]: nearest=40, target=42, dist=1.15, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916635.929494608] [waypoint_follower]: nearest=40, target=42, dist=0.70, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784916636.979245407] [waypoint_follower]: nearest=41, target=43, dist=0.75, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784916638.028613263] [waypoint_follower]: nearest=42, target=44, dist=0.79, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784916639.028573102] [waypoint_follower]: nearest=43, target=45, dist=0.82, alpha=0.04, vx=0.50, yaw_rate=0.03, dir=1
[INFO] [1784916640.028749549] [waypoint_follower]: nearest=44, target=46, dist=0.81, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916641.078627248] [waypoint_follower]: nearest=45, target=47, dist=0.76, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916642.078605520] [waypoint_follower]: nearest=46, target=48, dist=0.85, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916643.128921980] [waypoint_follower]: nearest=47, target=49, dist=0.92, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916644.179400926] [waypoint_follower]: nearest=48, target=50, dist=0.90, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916645.228650503] [waypoint_follower]: nearest=49, target=51, dist=0.90, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784916646.228720531] [waypoint_follower]: nearest=50, target=52, dist=0.90, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916647.229124253] [waypoint_follower]: nearest=51, target=53, dist=0.94, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784916648.278656137] [waypoint_follower]: nearest=52, target=54, dist=0.95, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784916649.328526390] [waypoint_follower]: nearest=53, target=55, dist=0.94, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916650.329441863] [waypoint_follower]: nearest=54, target=56, dist=1.00, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916651.378676263] [waypoint_follower]: nearest=55, target=57, dist=1.01, alpha=-0.08, vx=0.50, yaw_rate=-0.08, dir=1
[INFO] [1784916652.428610369] [waypoint_follower]: nearest=56, target=58, dist=1.06, alpha=-0.08, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1784916653.429697418] [waypoint_follower]: nearest=56, target=58, dist=0.70, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784916654.478581858] [waypoint_follower]: nearest=58, target=60, dist=1.08, alpha=-0.07, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1784916655.528559243] [waypoint_follower]: nearest=58, target=60, dist=0.72, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784916656.578535955] [waypoint_follower]: nearest=59, target=61, dist=0.71, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784916657.628924348] [waypoint_follower]: nearest=60, target=62, dist=0.83, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916658.680185068] [waypoint_follower]: nearest=61, target=63, dist=0.83, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784916659.678717485] [waypoint_follower]: nearest=62, target=64, dist=0.85, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784916660.728534212] [waypoint_follower]: nearest=63, target=65, dist=0.76, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784916661.728597218] [waypoint_follower]: nearest=64, target=66, dist=0.86, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784916662.729572658] [waypoint_follower]: nearest=65, target=67, dist=0.89, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916663.778856789] [waypoint_follower]: nearest=66, target=68, dist=0.94, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916664.779398268] [waypoint_follower]: nearest=67, target=69, dist=1.00, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784916665.828478550] [waypoint_follower]: nearest=68, target=70, dist=0.91, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916666.829476918] [waypoint_follower]: nearest=69, target=71, dist=0.94, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916667.878534172] [waypoint_follower]: nearest=70, target=72, dist=1.00, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784916668.928774859] [waypoint_follower]: nearest=71, target=73, dist=1.02, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916669.928637600] [waypoint_follower]: nearest=72, target=74, dist=1.11, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
