# idx stamp x y z qx qy qz qw yaw pcd_file
44 1778846210.610124111 4.623889 -0.336689 1.387316 -0.021532614 -0.021951129 0.045736825 0.998480164 0.092492756 keyframe_000044.pcd
45 1778846210.710062742 4.632403 -0.329231 1.386102 -0.035715675 -0.016981856 0.073809794 0.996487893 0.148924623 keyframe_000045.pcd
46 1778846210.810068607 4.636975 -0.324270 1.382854 -0.040514601 -0.017085253 0.102849080 0.993724674 0.207341760 keyframe_000046.pcd
47 1778846211.110075951 4.656972 -0.299788 1.382815 -0.045434661 -0.017284649 0.129409735 0.990398936 0.260920859 keyframe_000047.pcd
48 1778846211.510041952 4.771100 -0.280184 1.422624 -0.032052350 -0.013389988 0.154614120 0.987364081 0.311220841 keyframe_000048.pcd
49 1778846211.710026264 4.858553 -0.241995 1.454046 -0.044846042 -0.012820948 0.132440161 0.990092955 0.266576195 keyframe_000049.pcd
50 1778846211.810018063 4.899022 -0.235799 1.468419 -0.046255022 -0.017569260 0.095893963 0.994161024 0.193565226 keyframe_000050.pcd
51 1778846212.009974241 4.964323 -0.244152 1.477061 -0.024902840 -0.004458189 0.055273017 0.998150723 0.110792259 keyframe_000051.pcd
52 1778846212.410165548 5.039218 -0.237422 1.498829 -0.022550345 -0.009563513 0.028880596 0.999282709 0.058193146 keyframe_000052.pcd
53 1778846212.810119152 5.138734 -0.255251 1.529303 -0.001481887 -0.012366772 0.022836948 0.999661613 0.045724923 keyframe_000053.pcd
54 1778846213.110128641 5.251431 -0.230923 1.570038 -0.028897722 -0.020221725 0.015800080 0.999252901 0.032776719 keyframe_000054.pcd
55 1778846213.410089970 5.346685 -0.230593 1.602994 -0.009409372 -0.024742225 0.032370464 0.999125337 0.065274077 keyframe_000055.pcd
56 1778846213.810210705 5.475575 -0.215989 1.641195 -0.017780599 -0.037131669 0.025170080 0.998835100 0.051764197 keyframe_000056.pcd
57 1778846214.110184908 5.604209 -0.195577 1.680958 -0.005029426 -0.042095436 0.041229981 0.998249852 0.083125631 keyframe_000057.pcd
58 1778846214.310041428 5.702043 -0.206705 1.708341 -0.002115394 -0.045209856 0.038226730 0.998243613 0.076898671 keyframe_000058.pcd
59 1778846214.510094166 5.808570 -0.197829 1.761874 -0.003496688 -0.024649763 0.038028973 0.998966446 0.076317302 keyframe_000059.pcd
60 1778846214.810099125 5.918972 -0.179193 1.785605 -0.006464399 -0.026851506 0.046853189 0.998519898 0.094186304 keyframe_000060.pcd
61 1778846215.202843666 6.042535 -0.184001 1.816786 -0.002001051 -0.017826780 0.043543570 0.998890464 0.087227153 keyframe_000061.pcd
62 1778846215.410109758 6.176068 -0.155700 1.858800 -0.014909513 -0.026707715 0.045976047 0.998474140 0.092866896 keyframe_000062.pcd
63 1778846215.710117102 6.402998 -0.123873 1.929478 -0.010539148 -0.020460334 0.054863262 0.998228593 0.110273501 keyframe_000063.pcd
64 1778846215.910202026 6.527064 -0.096238 1.977414 -0.019298011 -0.015536498 0.055629285 0.998144071 0.111931864 keyframe_000064.pcd
65 1778846216.110162258 6.626211 -0.089156 2.002732 -0.015963732 -0.017126666 0.055637527 0.998176488 0.111911090 keyframe_000065.pcd
66 1778846216.510149717 6.750848 -0.076827 2.015198 -0.005903461 -0.017906553 0.067496360 0.997541350 0.135367631 keyframe_000066.pcd
67 1778846217.010141134 6.846034 -0.057539 2.051117 -0.014392164 -0.024712771 0.065797181 0.997423118 0.132502506 keyframe_000067.pcd
68 1778846219.110068560 6.943834 -0.019677 2.064330 -0.029975757 -0.044874320 0.078012069 0.995490767 0.159252577 keyframe_000068.pcd
69 1778846219.310116529 7.032453 0.003975 2.109183 -0.022832340 -0.027444945 0.088873861 0.995402881 0.179372541 keyframe_000069.pcd
70 1778846219.510129213 7.141359 0.036954 2.133589 -0.026954350 -0.015585284 0.087369505 0.995689275 0.175790546 keyframe_000070.pcd
71 1778846220.110086441 7.230765 0.061796 2.158640 -0.046982141 -0.004283487 0.137769034 0.989340196 0.276516465 keyframe_000071.pcd
72 1778846220.210022449 7.228951 0.069161 2.165039 -0.065719433 -0.011836786 0.185188467 0.980431578 0.373294793 keyframe_000072.pcd
73 1778846220.309996605 7.219036 0.091207 2.166809 -0.078828011 -0.016973911 0.243695029 0.966494058 0.493536249 keyframe_000073.pcd
74 1778846220.410048008 7.212225 0.100257 2.164422 -0.080994138 -0.014972962 0.284587979 0.955104938 0.577739638 keyframe_000074.pcd
75 1778846220.510088444 7.206119 0.108514 2.157565 -0.097932436 -0.011714221 0.314644423 0.944071450 0.639574465 keyframe_000075.pcd
76 1778846220.610120058 7.198128 0.116635 2.157428 -0.100973039 -0.012743278 0.341674369 0.934291539 0.696681307 keyframe_000076.pcd
77 1778846220.810048580 7.184029 0.129514 2.154359 -0.123592056 -0.018500616 0.393803759 0.910659832 0.808543336 keyframe_000077.pcd
78 1778846220.910093784 7.173639 0.144892 2.153888 -0.133007077 -0.016573512 0.448717251 0.883565088 0.928304636 keyframe_000078.pcd
79 1778846221.010081768 7.151961 0.153278 2.148186 -0.149261573 -0.023035842 0.506538692 0.848886851 1.060016919 keyframe_000079.pcd
80 1778846221.110051394 7.138593 0.159437 2.144567 -0.150698107 -0.017671960 0.551037663 0.820570092 1.163828182 keyframe_000080.pcd
81 1778846221.210137844 7.130047 0.162695 2.135192 -0.163666831 -0.015186505 0.578539807 0.798920666 1.229492451 keyframe_000081.pcd
82 1778846221.409990788 7.114891 0.170287 2.120822 -0.179267245 -0.019622531 0.613216726 0.769053612 1.316328696 keyframe_000082.pcd
83 1778846221.710021973 7.107122 0.162412 2.120150 -0.186681598 -0.017396929 0.641098670 0.744204154 1.388218883 keyframe_000083.pcd
84 1778846221.910046577 7.088918 0.167022 2.116635 -0.197623218 -0.023450062 0.664278898 0.720505867 1.450972677 keyframe_000084.pcd
85 1778846222.210022688 7.068292 0.178126 2.106972 -0.208229420 -0.021273725 0.691881835 0.691004677 1.527619148 keyframe_000085.pcd
86 1778846222.308781624 7.055556 0.174320 2.103204 -0.213453220 -0.016645982 0.715055071 0.665474928 1.594948363 keyframe_000086.pcd
87 1778846222.510048628 7.013372 0.153098 2.099018 -0.236499076 -0.024937118 0.788259793 0.567532225 1.833675247 keyframe_000087.pcd
